#/**
#  *
#  * Message catalog (Basque)
#  *
#  * GForge: Breaking Down the Barriers to Open Source Development
#  * Copyright 1999-2001 (c) VA Linux Systems
#  * http://sourceforge.net
#  *
#  * @version   $Id$
#  *
#  */
#
#	Basque translation by FitBak S.L.L. ( http://www.fitbak.com/ )
#
#	file: Basque.tab v 0.5
#
#	Contact us in our web page in order to cooperate..
#
account	title	Zure kontuko lehentasunak
account	updated	Eguneratua
account_change_email	desc	<p>Zure posta elektronikoaren aldaketa baieztatzeko helbide berritik egin behar duzu, horrela posta berria zuzena dela ziurtatzen dugu.</p><p>Erabiltzailearen gunea sortzean eduki garrantzitsuetara atzipena ematen diogunez posta elektroniko operatiboa beharrezkoa da momentu oro. Garapenean dagoen proiektu bateko erabiltzailearekin harremanetan jartzeko premia eduki ez gero posta elektronikoa zuzena izan behar du.</p><p>Formulario hau igorri ondoren baieztatzeko lotura bidaliko zaizu helbide berrira. Lotura honetara joatean helbide aldaketa gauzatuko da.</p>
account_change_email	invalid_email	Posta elektroniko baliogabea
account_change_email	mailsent	<p>Posta bidali dizugu helbide berrira. Bertan azaltzen diren argibideak jarraitu helbidea aldatzeko. </p><a href="/">[ Orri Nagusia ]</a>
account_change_email	message	Helbide elektronikoa aldatzeko eskaria egin duzu $1 -ean.\nMesedez, posta aldaketa egiteko bisita ezazu ondorengo helbidea:\n\n<http://$1/account/change_email-complete.php?ch=_$2>\n\n -- $1 -en lantaldea
account_change_email	new_address	Posta elektroniko berria:
account_change_email	section	Zure kontuko lehentasunak
account_change_email	send_confirmation	Baieztapena posta berrira bidali
account_change_email	subject	$1 Egiaztapena
account_change_email	title	Helbide elektronikoa aldatu
account_change_email-complete	confirm	Ongietorri, $1. Zure posta aldaketa gauzatu da. Artxibatua gelditu den helbide elektroniko berria hauxe da: <strong>$2</strong>. Orain, helbide honetara $3 bidalitako posta beste kontu honetara berbidaliko dira.
account_change_email-complete	title	Posta aldaketa gauzatu da
account_change_email_confirm	title	Posta elektronikoaren aldaketaren baieztapena
account_change_pw	confirmation	<h2>$1 Pasahitzaren aldaketaren baieztapena</h2><p>Zorionak. Pasahitza aldatu duzu.</p>
account_change_pw	new_password	Pasahitza berria (gutxienez 6 karaktere)
account_change_pw	new_password_repeat	Pasahitza berria (errepika ezazu)
account_change_pw	not_valid_password	Pasahitza egokia jarri behar duzu (gutxienez 6 karaktere)
account_change_pw	old_password	Pasahitza zaharra
account_change_pw	old_password_incorrect	Pasahitza zaharra ez da zuzena
account_change_pw	passwords_dont_match	Pasahitza berriak ez datoz bat.
account_change_pw	section	Zure kontuko lehentasunak
account_change_pw	title	Pasahitza aldaketa
account_change_pw	update	Pasahitza eguneratu
account_change_pw_changed	return_to	Orain $1 $2 erabiltzailearen lehentasunetara itzuli behar du.
account_change_pw_changed	title	Pasahitza ongi aldatu da
account_editsshkeys	section	Zure kontuko lehentasunak
account_editsshkeys	title	Partekatutako kodeak argitaratu CVS/SSH
account_first	about_blurb	<p>Orain $1 -ean erregistratutako erabiltzailea zara, kode irekiko "on line" proiektuak garatzeko webgunekoa.</p><p>Erregistratutako erabiltzaile bezela, atari honetako ekintza guztietan parte hartzeko aukera duzu. Gainera, orain mezuak bidaltzeko baimena daukazu proiektuen eztabaida guneetara, kode akatsak bidali ditzakezu $1 -era, proiektu garatzaile bezela erregistratu, edota zure intereseko proiektua ere sustatu dezakezu. </p><p>Ondorengo lt;a href="/docs/site/"><b>dokumentazioa</b></a> irakurtzeko beta hartu behar duzu $1.</p><p> egitasmoari etekina ateratzeko. Webgune honetaz goza ezazu, eta mesedez hobekuntzak egiteko azalpenak bidali iezazkiguzu. $1.</p><p>-- $1.</p> lantaldea
account_first	title	¡Ongietorri!
