#/**
#  *
#  * Polish message catalog
#  *
#  * GForge: Breaking Down the Barriers to Open Source Development
#  * Copyright 1999-2001 (c) VA Linux Systems
#  * http://sourceforge.net
#  *
#  * @version   $Id$
#  * @author Max Gilead <gilead@linart.pl>
#  *
#  */
#
# ChangeLog:
#
# 2000-10-06  Max Gilead  <gilead@linart.pl>
#	* Initial translation
# 2000-10-16  Max Gilead  <gilead@linart.pl>
#	* Better translation, added new strings
#
about_foundries	about_blurb	O dzia³ach
menu	about_sourceforge	About GForge
menu	account_maintenance	Zarz±dzanie kontem
menu	bookmark_page	Zrób zak³adkê
home	breaking_down_barriers	Prze³amujemy bariery w rozwoju oprogramowania Open Source
menu	change_my_theme	Zmieñ wygl±d
menu	code_snippet_library	Teczka wycinków kodu
menu	compile_farm	Kompilatory
menu	contact_us	Kontakt z nami
group	developers	Programi¶ci
group	developer_info	Informacja o programi¶cie
menu	discussion_forums	Forum dyskusyjne
menu	documentation	Dokumentacja serwera
frs	file_download	Download
frs	file_monitor	Monitor
frs	file_notes	Notatki
frs	file_package	Pakiet
frs	file_version	Wersja
group	long_bugs	¶ledzenie pluskiew
group	long_cvs	Repozytorium CVS
group	long_docman	DocManager: dokumentacja projektu
group	long_forum	Forum publiczne
group	long_ftp	Anonimowy FTP
group	long_homepage	Strona domowa projektu
group	long_mail	Listy dyskusyjne
group	long_news	Naj¶wie¿sze wie¶ci
group	long_patch	Centrum ³at
group	long_pm	Centrum zadañ
group	long_support	Centrum pomocy technicznej
group	long_survey	Sonda¿e
group	short_bugs	Pluskwy
group	short_cvs	CVS
group	short_docman	Dokumentacja
group	short_files	Filesgroup	short_forum	Forum
group	short_homepage	Strona domowa
group	short_mail	Listy dyskusyjne
group	short_main 	G³ówna
group	short_news	Nowo¶ci
group	short_patch	£aty
group	short_pm	Zadania
group	short_summary	Podsumowanie
group	short_support	Wsparcie
group	short_survey	Sonda¿e
home	highest_ranked_users	Najwy¿ej oceniani u¿ytkownicy
home	about_blurb	  GForge to <B>wolny serwis dla programistów  <A href="http://www.opensource.org">Open Source</A></B> oferuj±cy ³atwy dostêp to najlepszego CVS, list dyskusyjnych, ¶ledzenia b³êdów, grup i forum dyskusyjnych, zarz±dzania zadaniami, hostingu stron, sta³ego archiwizowania plików, pe³nego backupu; zarz±dzni ca³kowicie z poziomu WWW. <BR> &nbsp; <P> <B>Opinie i wspó³praca nad serwisem</B> <P> Aby w pe³ni skorzystaæ z GForge, powiniene¶ <A href="/account/register.php">zarejestrowaæ siê jako u¿ytkownik serwisu</A>. Pozwoli Ci to korzystaæ ze wszystkiego, co mamy do zaoferowania. Oczywi¶cie mo¿esz korzystaæ z serwisu tak¿e bez rejestracji, jednak pewne opcje bêd± niedostêpne. <P> &nbsp; <BR> <B>Za³ó¿ Swój W³asny Projekt</B> <P> <A href="/account/register.php">Zarejestruj siê jako u¿ytkownik serwisu</A>, nastêpnie <A HREF="/account/login.php">zaloguj siê</A> i <A HREF="/register/">Za³ó¿ swój w³asny projekt.</A> <P> Dziêkujemy. Przyjemnego korzystania z serwisu.
frs	latest_file_releases	Najnowsze pliki
menu	login	Zaloguj przez SSL
menu	logout	Wyloguj
home	most_active_this_week	Najbardziej aktywny w tym tygodniu
menu	my_personal_page	Moja strona osobista
menu	new_project	Zarejestruj nowy projekt
menu	new_releases	Nowo¶ci
menu	new_user	Nowy u¿ytkownik przez SSL
menu	other_site_mirrors	Inne mirrory
menu	project_admin	Admin projektu
group	project_admins	Admini projektu
menu	project_help_wanted	Potrzeba pomoc do projektu
menu	project_summary	Podsumowanie projektu
group	public_area	Obszar publiczny
menu	search	Szukaj
menu	software_map	Mapa projektów
home	sourceforge_statistics	Statystyki GForge
menu	top_projects	Najlepsze projekty
home	top_project_downloads	Najczê¶ciej pobierane projekty
conf	content_encoding	iso-8859-2
conf	language_code	pl
conf	language_id	15
